species_id,hindfoot_length,weight
BA,13,7
DM,35.95910418695229,42.52198503922642
DO,35.4490538573508,48.86904761904762
DS,49.97063142437592,120.41152993348115
NL,32.36206896551724,158.44053398058253
OL,20.572033898305083,32.60949868073879
OT,20.242463958060288,23.82116788321168
OX,19.125,21
PE,20.24872448979592,21.659420289855074
PF,15.52863436123348,7.091617933723197
PH,26.076923076923077,30.692307692307693
PM,20.35904255319149,21.56723716381418
PP,21.707736389684815,16.32336956521739
RF,17.433333333333334,13.370967741935484
RM,16.407798537774166,10.315829528158295
SF,29,54.8
SH,28.858823529411765,75.02105263157895
